A,B,C,D,E,F,G,H,I,J,K,L
3481,14021,15042,12181,11935,18784,16867,17989,12155,11899,18767,True
3489,14026,15110,12159,11924,18814,16910,17981,12166,11915,18755,True
3497,14030,15059,12176,11939,18854,16944,17931,12165,11912,18844,True
3505,14033,14614,12216,12002,18753,16978,18019,12150,11908,18754,True
3513,14046,15014,12194,11963,18743,17023,17876,12192,11941,18738,True
3521,14043,15067,12175,11957,18758,17058,17833,12203,11963,18780,True
3529,14053,15072,12184,11972,18707,17100,17948,12168,11939,18760,True
3537,14049,14555,12235,12046,18790,17135,17852,12197,11968,18706,True
3545,14060,15117,12176,11969,18779,17178,17932,12175,11950,18798,True
3553,14066,15095,12184,11979,18774,17207,17970,12162,11942,18782,True
3561,14074,15098,12187,11977,18733,17254,17958,12163,11947,18735,True
3569,14083,14612,12233,12058,18693,17303,18024,12139,11937,18783,True
3577,14095,15105,12197,11992,18721,17362,17875,12190,11976,18740,True
3585,14100,15089,12214,12010,18771,17415,17887,12180,11970,18790,True
3593,14105,15102,12211,12009,18765,17446,17892,12181,11972,18744,True
3601,14109,15121,12218,12010,18739,17494,17897,12172,11971,18704,True
3609,14119,15195,12193,12003,18748,17552,17900,12176,11972,18784,True
3617,14119,15180,12200,12001,18749,17599,17851,12193,11988,18748,True
3625,14120,15156,12217,12015,18679,17626,17845,12187,11979,18772,True
3633,14125,15230,12200,12004,18725,17664,17853,12187,11976,18674,True
3641,14132,15265,12197,11997,18795,17715,17801,12206,11992,18747,True
3649,14137,15232,12216,12008,18694,17757,17841,12190,11974,18774,True
3657,14140,15211,12228,12016,18704,17798,17924,12171,11957,18708,True
3665,14146,15348,12185,11981,18747,17848,17873,12178,11962,18740,True
3673,14152,15449,12173,11969,18769,17912,17871,12185,11965,18749,True
3681,14151,15409,12201,11991,18680,17963,17844,12194,11964,18677,True
3689,14150,15366,12229,12006,18785,18002,17914,12173,11945,18787,True
3697,14147,15440,12202,11977,18759,18049,17962,12150,11926,18697,True
3705,14136,15441,12214,11987,18766,18117,17826,12189,11956,18771,True
3713,14126,15553,12191,11966,18746,18155,17816,12195,11952,18751,True
3721,14120,15525,12209,11970,18777,18201,17918,12149,11907,18751,True
3729,14113,15625,12187,11941,18733,18259,17850,12179,11921,18680,True
3737,14110,15601,12202,11953,18700,18323,17757,12212,11932,18708,True
3745,14092,15621,12211,11960,18755,18378,17938,12154,11893,18780,True
3753,14067,15679,12201,11943,18733,18446,17816,12185,11902,18742,True
3761,14052,15670,12223,11953,18804,18470,17823,12191,11905,18823,True
3769,14033,15788,12193,11922,18718,18514,17829,12189,11902,18739,True
3777,14019,15803,12191,11915,18717,18558,17874,12173,11880,18735,True
3785,14010,15871,12174,11901,18736,18597,17865,12179,11877,18740,True
3793,13998,15894,12174,11900,18700,18671,17960,12151,11863,18713,True
3801,13973,15859,12203,11916,18816,18720,17835,12186,11889,18771,True
3809,13943,15916,12201,11906,18756,18779,17764,12221,11900,18745,True
3817,13932,15866,12222,11925,18716,18816,17894,12170,11867,18784,True
3825,13901,15857,12239,11938,18749,18871,17881,12183,11868,18767,True
3833,13862,16023,12188,11898,18738,18926,17875,12182,11871,18769,True
3841,13846,16112,12155,11873,18745,18972,17896,12178,11861,18742,True
3849,13826,15996,12205,11907,18717,19026,17885,12171,11861,18684,True
3857,13791,16103,12174,11896,18746,19110,17897,12170,11861,18761,True
3865,13773,16127,12172,11887,18724,19142,17895,12178,11875,18738,True
3873,13733,16127,12177,11898,18718,19208,17867,12185,11878,18777,True
3881,13710,16046,12216,11926,18778,19244,17831,12187,11882,18708,True
3889,13684,16152,12177,11904,18760,19291,17839,12193,11893,18793,True
3897,13669,16289,12130,11871,18760,19331,17821,12196,11896,18769,True
3905,13649,16095,12211,11927,18779,19370,17777,12206,11907,18753,False
3913,13629,16044,12231,11944,18736,19306,17901,12169,11938,18774,False
3921,13602,16211,12172,11911,18733,19180,17837,12192,11962,18721,False
3929,13580,16208,12175,11920,18759,19133,17947,12152,11938,18738,False
3937,13547,16223,12165,11924,18744,19052,17795,12201,11979,18745,False
3945,13512,16214,12172,11934,18729,18934,17958,12151,11947,18733,False
3953,13460,16246,12162,11932,18755,18799,17894,12167,11973,18722,False
3961,13436,16078,12214,11976,18707,18714,17868,12188,11987,18740,False
3969,13417,16095,12207,11970,18774,18635,17812,12200,12000,18772,False
3977,13399,16129,12198,11970,18757,18588,17758,12214,12016,18756,False
3985,13351,16121,12196,11987,18746,18445,17940,12157,11986,18784,False
3993,13316,16137,12188,11976,18791,18334,17772,12217,12031,18758,False
4001,13282,16079,12204,11998,18743,18251,17938,12165,12003,18780,False
4009,13256,16151,12174,11976,18723,18182,17775,12212,12036,18715,False
4017,13234,16149,12176,11983,18779,18096,17873,12180,12015,18760,False
4025,13204,16006,12206,12014,18719,18012,17895,12171,12016,18756,False
4033,13165,16009,12197,12008,18683,17867,17893,12176,12014,18754,False
4041,13139,15984,12188,12005,18769,17754,17863,12191,12034,18815,False
4049,13090,15912,12209,12026,18800,17602,17796,12201,12041,18806,False
4057,13054,15830,12225,12033,18788,17480,17819,12194,12036,18742,False
4065,13028,15913,12190,12000,18813,17351,17963,12150,11999,18787,False
4073,13003,15780,12220,12027,18733,17254,17906,12162,12012,18706,False
4081,12990,15787,12216,12019,18788,17172,17881,12171,12013,18756,False
4089,12962,15919,12160,11978,18775,17102,17794,12198,12029,18747,False
4097,12951,15833,12192,12001,18741,17046,17864,12178,12012,18767,False
4105,12942,15817,12188,12000,18788,16979,17873,12180,12014,18814,False
4113,12927,15776,12200,12000,18759,16914,17814,12198,12019,18793,False
4121,12915,15750,12197,11994,18774,16847,17785,12208,12030,18791,False
4129,12901,15809,12164,11969,18706,16766,17812,12198,12015,18751,False
4137,12889,15729,12183,11982,18754,16698,17983,12158,11979,18741,False
4145,12876,15736,12180,11978,18785,16647,17968,12163,11983,18767,False
4153,12854,15624,12212,11991,18815,16535,17866,12191,11998,18812,False
4161,12842,15698,12166,11953,18794,16450,18011,12143,11956,18782,False
4169,12822,15564,12209,11971,18754,16324,17837,12203,11998,18763,False
4177,12816,15545,12207,11965,18728,16226,17910,12177,11970,18750,False
4185,12809,15472,12216,11960,18720,16145,17913,12178,11960,18773,False
4193,12806,15468,12201,11942,18783,16081,17817,12206,11984,18734,False
4201,12792,15425,12203,11945,18767,15969,17962,12155,11950,18755,False
4209,12780,15434,12184,11924,18787,15841,17852,12194,11960,18732,False
4217,12773,15420,12171,11905,18707,15740,17924,12173,11944,18714,False
4225,12768,15340,12205,11925,18781,15654,17793,12217,11965,18780,False
4233,12766,15213,12247,11954,18782,15586,17918,12180,11936,18777,False
4241,12766,15323,12184,11900,18731,15487,17842,12206,11948,18738,False
4249,12769,15286,12193,11905,18783,15423,17898,12181,11929,18748,False
4257,12769,15150,12236,11935,18787,15357,17866,12194,11937,18781,False
4265,12774,15147,12230,11921,18781,15259,17803,12216,11953,18793,False
4273,12766,15098,12234,11934,18924,15156,17980,12152,11910,18902,False
4281,12765,15155,12207,11907,18786,15062,18034,12140,11901,18782,False
4289,12767,15200,12173,11888,18752,14956,17925,12178,11928,18783,False
4297,12775,15100,12214,11916,18730,14857,17867,12190,11929,18748,False
4305,12779,15151,12187,11899,18747,14808,17917,12181,11923,18757,False
4313,12785,15077,12213,11916,18770,14708,17875,12193,11941,18730,False
4321,12793,15066,12202,11914,18726,14625,17881,12186,11932,18813,False
4329,12797,15009,12223,11930,18744,14558,17898,12181,11931,18711,False
4337,12803,15026,12208,11914,18769,14491,17990,12149,11912,18743,False
4345,12817,15093,12183,11903,18732,14410,17863,12183,11933,18786,False
4353,12824,15104,12170,11908,18751,14239,17957,12160,11928,18789,False
4361,12848,14598,12218,11944,18748,14074,17956,12152,11925,18707,False
4369,12860,15014,12196,11933,18789,13981,17811,12204,11972,18780,False
4377,12874,14506,12245,11995,18776,13918,17870,12182,11958,18735,False
4385,12875,14503,12245,12005,18799,13831,17889,12178,11964,18775,False
4393,12887,14617,12204,11967,18704,13764,17933,12166,11959,18713,False
4401,12895,15029,12188,11954,18749,13716,17889,12186,11970,18745,False
4409,12902,15031,12194,11963,18788,13634,17905,12165,11965,18762,False
4417,12913,14626,12204,11988,18737,13568,17832,12190,11982,18772,False
4425,12930,14631,12215,12005,18824,13436,17847,12189,11992,18812,False
4433,12938,14646,12213,12018,18725,13370,17967,12149,11967,18693,False
4441,12949,15010,12198,11985,18777,13304,17952,12146,11967,18751,False
4449,12972,15101,12168,11980,18781,13162,17878,12178,11995,18771,False
4457,12982,15073,12193,12006,18777,13011,17797,12203,12024,18699,False
4465,12979,15112,12176,11995,18846,12959,17856,12182,12008,18812,False
4473,12989,15042,12227,12029,18770,12799,17808,12194,12022,18728,False
4481,12988,15127,12199,12016,18775,12657,17782,12218,12038,18769,False
4489,12998,15230,12171,11993,18734,12493,17905,12181,12012,18707,False
4497,12999,15225,12184,12006,18759,12443,17895,12180,12011,18716,False
4505,13003,15189,12208,12021,18772,12328,17932,12179,12015,18765,False
4513,13007,15307,12190,12005,18729,12193,17875,12184,12013,18721,False
4521,13005,15327,12197,12001,18790,12058,17768,12227,12043,18760,False
4529,13005,15318,12208,12004,18714,11975,17969,12160,11991,18767,False
4537,13004,15345,12214,12008,18738,11925,17932,12171,12000,18746,False
4545,13002,15353,12213,12002,18699,11858,17945,12173,11993,18728,False
4553,12997,15390,12216,12001,18756,11773,17950,12162,11985,18694,False
4561,12991,15560,12160,11963,18782,11689,17864,12181,11999,18734,False
4569,12979,15584,12161,11951,18731,11550,17892,12178,11989,18744,False
4577,12959,15643,12164,11948,18830,11384,17827,12192,11990,18762,False
4585,12939,15660,12172,11932,18765,11224,17967,12145,11942,18716,False
4593,12932,15632,12197,11947,18722,11174,17970,12155,11952,18790,False
4601,12924,15645,12201,11944,18715,11107,17869,12177,11964,18755,False
4609,12925,15647,12216,11946,18858,11080,17932,12160,11882,18845,True
4617,12925,15668,12216,11940,18746,11117,17771,12207,11908,18827,True
4625,12908,15808,12168,11914,18783,11183,17865,12185,11899,18807,True
4633,12885,15778,12203,11920,18821,11275,17860,12191,11887,18780,True
4641,12877,15797,12214,11928,18790,11317,17888,12181,11876,18846,True
4649,12867,15814,12209,11920,18752,11360,17860,12193,11885,18754,True
4657,12854,15917,12187,11902,18819,11412,17849,12189,11872,18780,True
4665,12846,15962,12167,11891,18698,11456,17871,12184,11872,18820,True
4673,12835,15866,12214,11919,18792,11510,17877,12184,11869,18708,True
4681,12815,15947,12186,11890,18724,11597,17866,12182,11860,18718,True
4689,12805,15961,12195,11893,18816,11668,17930,12171,11847,18811,True
4697,12798,15966,12198,11904,18734,11705,17819,12207,11872,18814,True
4705,12785,15943,12210,11906,18779,11769,17880,12181,11863,18764,True
4713,12770,16042,12186,11894,18754,11800,17876,12180,11857,18768,True
4721,12732,16134,12170,11888,18724,11891,17824,12204,11877,18740,True
4729,12724,16144,12173,11881,18666,11936,17935,12158,11851,18737,True
4737,12722,15967,12238,11926,18599,12001,17772,12203,11880,18606,True
4745,12723,16029,12220,11918,18611,12061,17940,12153,11849,18587,True
